Mean,Median,StdDev,Variance,RMS,Max,Skewness,Kurtosis
-0.00581845,0.012322685,0.08272638,0.006843654,0.082925707,0.3906946,0.499168134,1.615520863
-0.005664805,0.01199486,0.083158385,0.006915317,0.083346043,0.395961,0.507913968,1.612800499
-0.006276432,0.01249617,0.083235106,0.006928083,0.083466346,0.3901711,0.517835673,1.64958446
-0.006122663,0.011272795,0.082598222,0.006822466,0.082819807,0.384578,0.489859406,1.516151967
-0.006469588,0.0117043,0.082916644,0.00687517,0.083163611,0.3914634,0.502417852,1.62160314
-0.006710564,0.011726885,0.082659595,0.006832609,0.082926512,0.3920851,0.493010348,1.596346941
-0.006896547,0.01060053,0.082994815,0.006888139,0.083275812,0.393434,0.504698974,1.614408757
-0.006445838,0.01147548,0.082707634,0.006840553,0.0829534,0.3807085,0.483505297,1.516922721
-0.006422207,0.01132025,0.08259514,0.006821957,0.082839418,0.3879677,0.499644453,1.697068218
-0.006006286,0.01090527,0.082149861,0.0067486,0.082364139,0.3880076,0.478584201,1.56265028
-0.006007604,0.012420675,0.082636554,0.0068288,0.082849609,0.3884588,0.482782466,1.548728508
-0.005749681,0.012415865,0.082835743,0.00686176,0.083030004,0.3942692,0.494837345,1.605076373
-0.006131347,0.011986645,0.082633342,0.006828269,0.082855471,0.3895275,0.483290751,1.531772616
-0.006522601,0.010828245,0.082535486,0.006812107,0.082787797,0.3840798,0.480597256,1.536352616
-0.006106736,0.01145514,0.082481804,0.006803248,0.082702537,0.3965314,0.487152562,1.525175506
-0.005819295,0.01269395,0.082444662,0.006797122,0.082644763,0.3914166,0.488761708,1.55666817
-0.005800395,0.01237442,0.082847765,0.006863752,0.083045523,0.3906712,0.492300858,1.56034214
-0.005911882,0.01251091,0.082897549,0.006872004,0.083103039,0.3913412,0.48362546,1.512373434
-0.005897675,0.01216575,0.082529194,0.006811068,0.08273463,0.3890111,0.491518831,1.592403916
-0.005297316,0.012416945,0.082626591,0.006827154,0.082791194,0.3897702,0.488631609,1.540754592
-0.005340314,0.012672145,0.082700272,0.006839335,0.082867479,0.3857551,0.486972392,1.570589753
-0.004750152,0.01280686,0.082688489,0.006837386,0.082819777,0.3798273,0.496370206,1.600711266
