Mean,Median,StdDev,Variance,RMS,Max,Skewness,Kurtosis,FileName
-0.005591241,-0.001189711,0.02587286,0.000669405,0.026468569,0.08588741,0.068738858,-0.30663887,1000_FGBSBOTHFB
-0.005219651,-0.000762494,0.025927742,0.000672248,0.02644637,0.08579174,0.069048923,-0.300403092,1000_FGBSBOTHFB
-0.005213964,-0.000906964,0.025846672,0.00066805,0.026365779,0.0870961,0.059306304,-0.321983011,1000_FGBSBOTHFB
-0.005838081,-0.001418595,0.025934189,0.000672582,0.026581634,0.08445451,0.06991707,-0.29654759,1000_FGBSBOTHFB
-0.006071011,-0.001755531,0.02601159,0.000676603,0.026709126,0.08396424,0.066820181,-0.308324266,1000_FGBSBOTHFB
-0.006402184,-0.001936457,0.025936247,0.000672689,0.026713195,0.08507574,0.0584528,-0.316691945,1000_FGBSBOTHFB
-0.006359388,-0.001826649,0.025979472,0.000674933,0.026744951,0.08369224,0.063751806,-0.324461953,1000_FGBSBOTHFB
-0.005546765,-0.001188984,0.025919478,0.000671819,0.026504791,0.08504439,0.05648369,-0.322612176,1000_FGBSBOTHFB
-0.005249327,-0.000931492,0.025938958,0.00067283,0.026463236,0.08563332,0.061827186,-0.31111875,1000_FGBSBOTHFB
-0.005374612,-0.000955111,0.02595735,0.000673784,0.026506381,0.08495241,0.049921461,-0.336943839,1000_FGBSBOTHFB
-0.005227928,-0.000825422,0.025994255,0.000675701,0.026513205,0.08805257,0.058252878,-0.329012945,1000_FGBSBOTHFB
-0.005826078,-0.001123337,0.025874401,0.000669485,0.026520673,0.08797791,0.051644521,-0.307307924,1000_FGBSBOTHFB
-0.005737773,-0.001156325,0.02592401,0.000672054,0.026549845,0.08792255,0.058316211,-0.304432057,1000_FGBSBOTHFB
-0.00546035,-0.000874901,0.025955755,0.000673701,0.026522338,0.0871347,0.060563404,-0.341305943,1000_FGBSBOTHFB
-0.005667309,-0.00131268,0.025980842,0.000675004,0.026590226,0.08427791,0.047824241,-0.344774585,1000_FGBSBOTHFB
-0.005769555,-0.001302511,0.025952835,0.00067355,0.026584867,0.0831849,0.043966271,-0.358444692,1000_FGBSBOTHFB
-0.005497129,-0.00117127,0.025884576,0.000670011,0.026460309,0.08660855,0.05409015,-0.327072296,1000_FGBSBOTHFB
-0.005309293,-0.000915334,0.025882633,0.000669911,0.026420021,0.08350328,0.040074572,-0.366612859,1000_FGBSBOTHFB
-0.005387074,-0.001080708,0.025914202,0.000671546,0.026466666,0.0848674,0.052968453,-0.319264195,1000_FGBSBOTHFB
-0.005750085,-0.001517246,0.025907037,0.000671175,0.02653594,0.08786956,0.051360194,-0.320996889,1000_FGBSBOTHFB
-0.005703699,-0.001258757,0.025881349,0.000669844,0.026500842,0.08677901,0.055823376,-0.31925816,1000_FGBSBOTHFB
-0.005086334,-0.000631461,0.025872334,0.000669378,0.026366015,0.08512973,0.05248555,-0.329417696,1000_FGBSBOTHFB
-0.005704506,-0.001308579,0.025982212,0.000675075,0.026599518,0.09304347,0.068511241,-0.284742554,1000_FGBSBOTHFB
-0.006512411,-0.002073027,0.02595669,0.00067375,0.026759653,0.08555152,0.064853974,-0.312985508,1000_FGBSBOTHFB
-0.006182459,-0.001916745,0.025956888,0.00067376,0.026681465,0.08193413,0.065679595,-0.310809737,1000_FGBSBOTHFB
-0.006310102,-0.001598573,0.025993399,0.000675657,0.026746807,0.08635392,0.069778587,-0.304048429,1000_FGBSBOTHFB
-0.006315981,-0.001818941,0.025961231,0.000673986,0.02671694,0.08565749,0.073039494,-0.313234187,1000_FGBSBOTHFB
-0.00655387,-0.002161607,0.025987874,0.00067537,0.026800007,0.08289306,0.062192999,-0.335362911,1000_FGBSBOTHFB
-0.006458795,-0.002038834,0.025996543,0.00067582,0.026785327,0.08612801,0.070756694,-0.311193048,1000_FGBSBOTHFB
-0.006523154,-0.001964012,0.025940213,0.000672895,0.026746291,0.08577757,0.062376988,-0.324253829,1000_FGBSBOTHFB
-0.006549326,-0.002186344,0.025900616,0.000670842,0.026714298,0.08674759,0.057638143,-0.334548451,1000_FGBSBOTHFB
-0.00612368,-0.00164012,0.025944396,0.000673112,0.02665575,0.08603501,0.06782116,-0.324857266,1000_FGBSBOTHFB
-0.006175993,-0.001733396,0.025897944,0.000670704,0.026622632,0.08531396,0.066081123,-0.323126448,1000_FGBSBOTHFB
-0.006415598,-0.002152762,0.025975055,0.000674703,0.026754084,0.08494583,0.068028634,-0.32407062,1000_FGBSBOTHFB
-0.005840852,-0.001725241,0.025911521,0.000671407,0.02656013,0.08643874,0.078793447,-0.281551993,1000_FGBSBOTHFB
-0.00593772,-0.001436397,0.025964674,0.000674164,0.02663341,0.08600627,0.06201815,-0.325588502,1000_FGBSBOTHFB
-0.005872557,-0.001531749,0.02593807,0.000672783,0.026593012,0.08743991,0.072933485,-0.330158303,1000_FGBSBOTHFB
-0.006149314,-0.001834656,0.025920134,0.000671853,0.026638044,0.08261052,0.074493378,-0.317730318,1000_FGBSBOTHFB
-0.006028323,-0.001763297,0.025879028,0.000669724,0.026570341,0.08684879,0.069452653,-0.319691614,1000_FGBSBOTHFB
-0.005636331,-0.00126788,0.025947054,0.00067325,0.026550625,0.08369575,0.067001433,-0.307729309,1000_FGBSBOTHFB
-0.005827989,-0.001371701,0.025902237,0.000670926,0.026548248,0.08680993,0.074096263,-0.280990585,1000_FGBSBOTHFB
-0.006440251,-0.001977001,0.025923724,0.000672039,0.02671019,0.08772711,0.067549353,-0.313714775,1000_FGBSBOTHFB
-0.006858037,-0.002358871,0.025971654,0.000674527,0.026860327,0.08479788,0.066484907,-0.315895342,1000_FGBSBOTHFB
-0.007166424,-0.002929468,0.025967012,0.000674286,0.02693624,0.08729694,0.063786293,-0.327470537,1000_FGBSBOTHFB
-0.006772976,-0.002270456,0.02599715,0.000675852,0.026863404,0.08708678,0.064816266,-0.296333092,1000_FGBSBOTHFB
-0.006284912,-0.001841998,0.026025382,0.000677321,0.026771962,0.08582622,0.076743048,-0.313597924,1000_FGBSBOTHFB
-0.006023668,-0.001421876,0.025978204,0.000674867,0.026665882,0.08546667,0.074149168,-0.307982739,1000_FGBSBOTHFB
-0.005788281,-0.001428948,0.025968219,0.000674348,0.026603952,0.08680731,0.071217321,-0.311236526,1000_FGBSBOTHFB
-0.005886145,-0.00147816,0.025976617,0.000674785,0.026633606,0.08690999,0.0695572,-0.309185854,1000_FGBSBOTHFB
-0.00623119,-0.001772767,0.026067646,0.000679522,0.026800503,0.08643138,0.066476847,-0.306057149,1000_FGBSBOTHFB
-0.006393183,-0.002054567,0.025976738,0.000674791,0.026750352,0.08653887,0.065170254,-0.301181405,1000_FGBSBOTHFB
-0.006454854,-0.001971186,0.026086584,0.00068051,0.026871769,0.08364484,0.05922818,-0.31557128,1000_FGBSBOTHFB
